               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090211,             0.17588,            0.089192,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00019,             0.00019,             0.09829
                   1,            0.074566,             0.18366,            0.086707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038937,          0.00038937,            0.096489
                   2,            0.065362,             0.14833,            0.080437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058811,          0.00058811,            0.094688
                   3,            0.062029,              0.1367,            0.078608,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007862,           0.0007862,            0.092886
                   4,            0.060093,             0.15072,            0.081153,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098365,          0.00098365,            0.091084
                   5,            0.058757,             0.13075,            0.081359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011805,           0.0011805,             0.08928
                   6,            0.058328,             0.13644,            0.082541,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013766,           0.0013766,            0.087477
                   7,            0.057548,             0.14235,            0.083389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015722,           0.0015722,            0.085672
                   8,            0.053579,             0.13231,            0.079602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001767,            0.001767,            0.083867
                   9,            0.053536,              0.1273,            0.081335,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019613,           0.0019613,            0.082061
                  10,            0.054147,             0.14736,            0.081775,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021549,           0.0021549,            0.080255
                  11,            0.053388,             0.13533,            0.081623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023479,           0.0023479,            0.078448
                  12,            0.053144,             0.13032,            0.079392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025402,           0.0025402,             0.07664
                  13,             0.05161,             0.12108,             0.07998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027319,           0.0027319,            0.074832
                  14,            0.048075,             0.11395,            0.074608,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029229,           0.0029229,            0.073023
                  15,             0.04724,             0.11498,            0.076444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031133,           0.0031133,            0.071213
                  16,            0.050233,              0.1273,            0.079887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003303,            0.003303,            0.069403
                  17,            0.047991,             0.10185,            0.077438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034922,           0.0034922,            0.067592
                  18,             0.04856,             0.10641,            0.080097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036806,           0.0036806,            0.065781
                  19,            0.047298,             0.11438,            0.078441,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038685,           0.0038685,            0.063968
                  20,            0.046162,             0.11883,            0.080218,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040557,           0.0040557,            0.062156
                  21,            0.043415,             0.11678,            0.076035,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042422,           0.0042422,            0.060342
                  22,            0.046166,             0.12302,            0.081175,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044281,           0.0044281,            0.058528
                  23,            0.051479,             0.12376,            0.080019,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046134,           0.0046134,            0.056713
                  24,            0.049594,             0.12785,             0.08151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004798,            0.004798,            0.054898
                  25,            0.046984,             0.12731,            0.077971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004982,            0.004982,            0.053082
                  26,            0.046514,             0.12154,            0.077303,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051653,           0.0051653,            0.051265
